
2016-10-11T21:23:33.327Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:27:03.702Z - info: Displaying my collection details || user_id :6
2016-10-11T21:27:04.321Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:27:07.275Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:33:53.861Z - info: Displaying my collection details || user_id :6
2016-10-11T21:33:54.409Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:34:01.786Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:35:46.410Z - info: Displaying my collection details || user_id :6
2016-10-11T21:35:47.029Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:35:50.411Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:35:52.202Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:35:53.921Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:37:26.247Z - info: Displaying my collection details || user_id :6
2016-10-11T21:37:26.855Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:37:29.632Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:38:49.501Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:43:35.459Z - info: Redirecting to home page || anonymous user
2016-10-11T21:43:36.162Z - info: Displaying items for home page || anonymous user
2016-10-11T21:43:37.327Z - info: Redirecting to login page
2016-10-11T21:43:41.307Z - info: User logged in ||user_id :6
2016-10-11T21:43:41.339Z - info: Redirecting to home page || user_id :6
2016-10-11T21:43:43.150Z - info: Displaying items for home page || user_id :6
2016-10-11T21:43:44.431Z - info: Redirecting to detail page || user_id :6
2016-10-11T21:43:45.239Z - info: Displaying items for detail page || user_id :6
2016-10-11T21:43:48.187Z - info: confirming order and redirecting to payment page || user_id :6
2016-10-11T21:43:48.256Z - info: Redirecting to payment page || user_id :6
2016-10-11T21:43:48.984Z - info: Displaying items for detail page || user_id :6
2016-10-11T21:43:57.689Z - info: Validating card for payment page || user_id :6
2016-10-11T21:43:57.689Z - info: Valid card || user_id :6
2016-10-11T21:43:58.718Z - info: placing order and redirecting to home page || user_id :6
2016-10-11T21:43:58.932Z - info: Redirecting to home page || user_id :6
2016-10-11T21:44:00.255Z - info: Displaying items for home page || user_id :6
2016-10-11T21:44:07.899Z - info: Redirecting to my account page || user_id :6
2016-10-11T21:44:10.340Z - info: Displaying account details || user_id :6
2016-10-11T21:44:11.665Z - info: Displaying my collection details || user_id :6
2016-10-11T21:44:12.296Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:46:02.825Z - info: Redirecting to home page || anonymous user
2016-10-11T21:46:03.523Z - info: Displaying items for home page || anonymous user
2016-10-11T21:46:04.701Z - info: Redirecting to login page
2016-10-11T21:46:08.264Z - info: User logged in ||user_id :6
